0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
20,5,5,5,5,5,5,5,5,21,22,5,5,5,5,5,5,5,5,23
20,5,5,5,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,23
20,5,5,21,22,5,5,5,5,5,5,5,5,5,5,21,22,5,5,23
20,5,5,41,42,5,5,5,5,5,5,5,5,5,5,41,42,5,5,23
20,5,5,5,5,5,5,5,5,21,22,5,5,5,5,5,5,5,5,23
20,5,5,5,5,5,21,22,5,41,42,5,21,22,5,5,5,5,5,23
20,5,5,5,5,5,41,42,5,5,5,5,41,42,5,5,5,5,5,23
20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,23
20,21,22,5,5,21,22,5,5,21,22,5,5,21,22,5,5,21,22,23
40,41,42,5,5,41,42,5,5,41,42,5,5,41,42,5,5,41,42,43
40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,43
40,5,5,5,5,5,21,22,5,5,5,5,21,22,5,5,5,5,5,43
40,5,5,5,5,5,41,42,5,21,22,5,41,42,5,5,5,5,5,43
40,5,5,5,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,43
40,5,5,21,22,5,5,5,5,5,5,5,5,5,5,21,22,5,5,43
40,5,5,41,42,5,5,5,5,5,5,5,5,5,5,41,42,5,5,43
40,5,5,5,5,5,5,5,5,21,22,5,5,5,5,5,5,5,5,43
40,5,5,5,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,43
60,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63
