38,36,37,37,37,37,37,37,37,37,37,37,37,37,36
14,0,0,2,2,2,2,2,0,0,2,2,0,2,12
26,1,1,2,2,2,2,2,0,2,12,14,2,2,24
26,1,1,1,1,2,2,2,2,2,36,38,2,2,24
26,0,0,3,3,0,3,0,2,2,3,2,2,2,24
26,0,12,13,13,14,3,0,2,2,2,2,2,0,24
26,0,24,25,25,26,3,0,2,2,2,2,2,0,24
26,0,24,25,25,26,3,0,2,2,2,0,2,2,24
26,0,36,37,37,38,3,0,2,2,2,0,2,0,24
26,0,0,0,3,3,3,0,0,0,2,12,14,0,24
26,0,0,0,3,3,3,3,3,2,2,24,26,2,24
26,0,0,0,0,1,1,1,0,2,2,36,38,2,24
26,0,0,0,0,0,1,1,1,0,2,2,2,2,24
38,0,0,0,0,0,0,0,0,0,0,2,2,2,36
14,12,13,14,12,13,13,13,13,13,13,13,13,1,12
